Country,2023,2022,2021,2020,2019
Haiti,-1.86%,-1.68%,-1.80%,-3.31%,-1.72%
Kuwait,-2.23%,6.14%,1.70%,-5.27%,1.38%
Sri Lanka,-2.30%,-7.35%,4.21%,-4.62%,-0.22%
Iraq,-2.94%,7.64%,1.50%,-12.04%,5.51%
Estonia,-3.01%,-0.46%,7.25%,-0.97%,4.03%
Ireland,-3.20%,9.43%,15.13%,6.62%,5.30%
West Bank And Gaza,-5.51%,4.08%,7.01%,-11.32%,1.36%
Equatorial Guinea,-5.69%,3.72%,0.86%,-4.79%,-5.48%
Sudan,-12.05%,-0.96%,-1.87%,-3.63%,-2.18%
Timor-Leste,-14.36%,-20.54%,5.32%,31.96%,23.41%
St. Martin (French Part),0.00%,0.00%,4.90%,-12.50%,6.50%
French Polynesia,0.00%,4.47%,2.09%,-7.05%,2.70%
Tonga,0.00%,-2.01%,-2.67%,0.49%,0.71%
Afghanistan,0.00%,-6.24%,-20.74%,-2.35%,3.91%
Cuba,0.00%,1.77%,1.25%,-10.95%,-0.16%
Isle Of Man,0.00%,0.00%,3.84%,-8.84%,0.25%
Channel Islands,0.00%,7.81%,15.46%,-8.47%,2.36%
Qatar,0.00%,4.21%,1.63%,-3.56%,0.69%
Curacao,0.00%,7.90%,4.20%,-18.04%,-3.21%
Greenland,0.00%,0.00%,1.29%,0.19%,2.83%
San Marino,0.00%,0.00%,8.46%,-6.65%,2.07%
Monaco,0.00%,11.10%,21.87%,-13.01%,7.08%
Bermuda,0.00%,6.43%,5.42%,-6.84%,0.31%
Cayman Islands,0.00%,5.16%,4.90%,-4.95%,3.92%
Syrian Arab Republic,0.00%,0.00%,1.30%,-0.18%,1.22%
Northern Mariana Islands,0.00%,0.00%,0.00%,-29.68%,-11.32%
Guam,0.00%,5.10%,2.06%,-10.52%,2.52%
Virgin Islands (U.S.),0.00%,0.00%,2.85%,-1.92%,2.93%
Bhutan,0.00%,5.21%,4.42%,-10.22%,5.76%
American Samoa,0.00%,1.74%,-0.78%,4.41%,-0.49%
Faroe Islands,0.00%,5.40%,5.76%,-1.93%,4.39%
Aruba,0.00%,10.46%,27.64%,-23.98%,-2.30%
Lebanon,0.00%,-0.62%,-7.00%,-21.40%,-6.91%
New Caledonia,0.00%,3.50%,-2.10%,-2.40%,-1.40%
